#,Time,%Passes,Change,Test,Pass,Partial,Fail,Untested
0,Wed Oct 11 12:41:47 EDT 2017,42,42,Assignment3Suite,BuildTest1+ BuildTest2+ BuildTest3+ EfficiencyTest1+ InsertTest1+ InsertTest2+ InsertTest3+ SizeTest3+ , ,DelMinTest1- DelMinTest2- DelMinTest3- DelMinTest4- EverythingTest- GetMinTest1- GetMinTest2- GetMinTest3- SizeTest1- SizeTest2- SizeTest4- , ,
1,Wed Oct 11 13:01:51 EDT 2017,26,-16,Assignment3Suite,BuildTest1 BuildTest2 BuildTest3 EfficiencyTest1 SizeTest1+ , ,DelMinTest1 DelMinTest2 DelMinTest3 DelMinTest4 EverythingTest GetMinTest1 GetMinTest2 GetMinTest3 InsertTest1- InsertTest2- InsertTest3- SizeTest2 SizeTest3- SizeTest4 , ,
2,Wed Oct 11 13:47:42 EDT 2017,42,16,Assignment3Suite,BuildTest1 BuildTest2 BuildTest3 EfficiencyTest1 InsertTest1+ InsertTest2+ InsertTest3+ SizeTest3+ , ,DelMinTest1 DelMinTest2 DelMinTest3 DelMinTest4 EverythingTest GetMinTest1 GetMinTest2 GetMinTest3 SizeTest1- SizeTest2 SizeTest4 , ,
3,Wed Oct 11 13:51:43 EDT 2017,42,0,Assignment3Suite,BuildTest1 BuildTest2 BuildTest3 EfficiencyTest1 InsertTest1 InsertTest2 InsertTest3 SizeTest3 , ,DelMinTest1 DelMinTest2 DelMinTest3 DelMinTest4 EverythingTest GetMinTest1 GetMinTest2 GetMinTest3 SizeTest1 SizeTest2 SizeTest4 , ,
4,Wed Oct 11 14:01:13 EDT 2017,42,0,Assignment3Suite,BuildTest1 BuildTest2 BuildTest3 EfficiencyTest1 SizeTest1+ SizeTest2+ SizeTest3 SizeTest4+ , ,DelMinTest1 DelMinTest2 DelMinTest3 DelMinTest4 EverythingTest GetMinTest1 GetMinTest2 GetMinTest3 InsertTest1- InsertTest2- InsertTest3- , ,
5,Wed Oct 11 14:04:10 EDT 2017,42,0,Assignment3Suite,BuildTest1 BuildTest2 BuildTest3 EfficiencyTest1 InsertTest1+ InsertTest2+ InsertTest3+ SizeTest3 , ,DelMinTest1 DelMinTest2 DelMinTest3 DelMinTest4 EverythingTest GetMinTest1 GetMinTest2 GetMinTest3 SizeTest1- SizeTest2- SizeTest4- , ,
6,Wed Oct 11 14:22:55 EDT 2017,42,0,Assignment3Suite,BuildTest1 BuildTest2 BuildTest3 EfficiencyTest1 InsertTest1 InsertTest2 InsertTest3 SizeTest3 , ,DelMinTest1 DelMinTest2 DelMinTest3 DelMinTest4 EverythingTest GetMinTest1 GetMinTest2 GetMinTest3 SizeTest1 SizeTest2 SizeTest4 , ,
7,Wed Oct 11 17:28:50 EDT 2017,42,0,Assignment3Suite,BuildTest1 BuildTest2 BuildTest3 EfficiencyTest1 SizeTest1+ SizeTest2+ SizeTest3 SizeTest4+ , ,DelMinTest1 DelMinTest2 DelMinTest3 DelMinTest4 EverythingTest GetMinTest1 GetMinTest2 GetMinTest3 InsertTest1- InsertTest2- InsertTest3- , ,
8,Wed Oct 11 17:29:00 EDT 2017,42,0,InsertTestSuite,BuildTest1 BuildTest2 BuildTest3 EfficiencyTest1 SizeTest1 SizeTest2 SizeTest3 SizeTest4 , ,DelMinTest1 DelMinTest2 DelMinTest3 DelMinTest4 EverythingTest GetMinTest1 GetMinTest2 GetMinTest3 InsertTest1 InsertTest2 InsertTest3 , ,
9,Wed Oct 11 17:32:37 EDT 2017,42,0,Assignment3Suite,BuildTest1 BuildTest2 BuildTest3 EfficiencyTest1 SizeTest1 SizeTest2 SizeTest3 SizeTest4 , ,DelMinTest1 DelMinTest2 DelMinTest3 DelMinTest4 EverythingTest GetMinTest1 GetMinTest2 GetMinTest3 InsertTest1 InsertTest2 InsertTest3 , ,
